[0420/225107.161:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0420/225113.359:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0420/225203.678:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0420/230250.348:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0420/231118.790:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0420/232110.649:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0420/232140.596:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0420/232207.052:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0420/232215.208:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0420/232225.718:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0420/232227.936:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0420/235236.761:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0420/235457.194:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0421/001603.827:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0421/001946.397:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0421/002354.972:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0421/002446.417:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0421/002938.702:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0422/040910.883:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0422/041014.267:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0422/043110.371:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0422/043240.462:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
